City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
238,karratha,-20.7377,116.8463,24.25,69,0,1.78,AU,1715116485
239,alofi,-19.0595,-169.9187,26.94,94,75,3.6,NU,1715116485
240,uliastay,47.7417,96.8444,10.08,62,100,1.98,MN,1715116485
241,miracema do tocantins,-9.5618,-48.3967,28.08,60,16,1.26,BR,1715116485
242,soma,39.1855,27.6094,16.79,62,13,1.16,TR,1715116485
243,astrakhan,46.3497,48.0408,14.93,47,0,2.0,RU,1715116485
244,st ives,50.2086,-5.4875,11.18,93,53,2.51,GB,1715116485
245,krasnyy chikoy,50.3643,108.7512,4.53,86,93,1.29,RU,1715116486
246,antsohihy,-14.8796,47.9875,24.62,65,0,4.07,MG,1715116486
247,tarawa,1.419,172.984,30.05,84,40,4.63,KI,1715116486
248,avarua,-21.2078,-159.775,29.03,89,75,3.6,CK,1715116486
249,krasnyy yar,46.5331,48.3456,14.96,30,100,2.64,RU,1715116486
250,broken hill,-31.95,141.4333,10.82,67,4,4.66,AU,1715116486
251,opuwo,-18.0607,13.84,18.55,47,1,1.82,NA,1715116486
252,assis,-22.6617,-50.4122,25.8,48,0,3.05,BR,1715116487
253,arar,30.9753,41.0381,20.01,24,0,2.06,SA,1715116487
254,tanout,14.9709,8.8879,34.61,11,98,2.99,NE,1715116487
255,daejeon,36.3333,127.4167,6.97,88,100,2.63,KR,1715116487
256,haiku-pauwela,20.9219,-156.3051,27.34,72,20,8.75,US,1715116487
257,page,36.9147,-111.4558,23.88,8,0,7.6,US,1715116487
258,hermanus,-34.4187,19.2345,14.89,84,100,3.44,ZA,1715116487
259,fort bragg,35.139,-79.006,32.12,54,20,4.63,US,1715116488
260,hami,42.8,93.45,23.32,25,26,2.97,CN,1715116488
261,ishinomaki,38.4167,141.3,12.26,82,100,7.43,JP,1715116488
262,massaguet,12.4755,15.4365,36.16,8,100,3.77,TD,1715116488
263,pointe michel,15.25,-61.3833,29.16,72,100,5.15,DM,1715116488
264,arteche,12.2645,125.4048,26.22,87,100,2.84,PH,1715116488
265,ballito,-29.539,31.2144,17.08,88,0,0.0,ZA,1715116488
266,noumea,-22.2763,166.4572,23.33,99,56,3.61,NC,1715116488
267,tolanaro,-25.0319,46.9987,22.79,83,84,6.58,MG,1715116488
268,balqash,46.8481,74.995,18.43,43,71,2.91,KZ,1715116489
269,houghton,47.1219,-88.569,13.39,58,100,4.63,US,1715116489
270,dimbokro,6.6451,-4.7048,25.95,90,100,1.86,CI,1715116489
271,lepsy,46.235,78.9456,19.15,40,75,1.71,KZ,1715116489
272,laguna,38.421,-121.4238,24.05,44,0,5.14,US,1715116489
273,pisco,-13.7,-76.2167,22.03,73,86,10.29,PE,1715116426
274,port hedland,-20.3167,118.5667,20.03,83,0,2.57,AU,1715116489
275,carutapera,-1.195,-46.02,25.53,93,58,2.46,BR,1715116489
276,sabang,5.8933,95.3214,28.58,74,100,2.56,ID,1715116489
277,nova vicosa,-17.8919,-39.3719,25.54,82,0,2.82,BR,1715116490
278,gillette,44.2911,-105.5022,10.62,43,100,5.36,US,1715116421
279,newman,37.3138,-121.0208,22.36,54,8,8.94,US,1715116490
280,kapuskasing,49.4169,-82.4331,17.05,34,100,3.05,CA,1715116253
281,weno,7.4515,151.8468,24.97,100,100,5.14,FM,1715116490
282,lompoc,34.6391,-120.4579,22.08,63,0,8.23,US,1715116490
283,tazovsky,67.4667,78.7,-12.07,96,95,3.92,RU,1715116490
284,la'ie,21.6477,-157.9253,27.98,72,21,2.68,US,1715116491
285,midvagur,62.0511,-7.1939,8.46,87,100,6.17,FO,1715116491
286,smithers,54.7804,-127.1743,10.18,32,75,5.66,CA,1715116491
287,cizre,37.3272,42.1903,11.56,93,75,1.54,TR,1715116491
288,happy valley-goose bay,53.3168,-60.3315,7.17,57,75,8.23,CA,1715116362
289,an nuhud,12.7,28.4333,28.89,14,96,5.77,SD,1715116491
290,greymouth,-42.4667,171.2,5.69,70,28,2.66,NZ,1715116491
291,lazaro cardenas,17.9583,-102.2,29.3,53,99,6.08,MX,1715116466
292,coxen hole,16.3244,-86.5366,30.6,79,20,5.66,HN,1715116283
293,aitape,-3.1374,142.3475,25.92,93,100,1.59,PG,1715116492
294,arafat,21.3594,39.9664,28.06,24,0,2.84,SA,1715116492
295,bossangoa,6.4926,17.4552,25.99,67,92,0.4,CF,1715116492
296,adrar,20.5022,-10.0711,33.2,7,96,3.27,MR,1715116492
297,yinchuan,38.4681,106.2731,19.06,22,60,1.01,CN,1715116492
298,minas de marcona,-15.2119,-75.1103,17.01,75,81,8.75,PE,1715116493
299,grand falls-windsor,48.9332,-55.6649,13.06,79,78,0.89,CA,1715116252
300,novodvinsk,64.4165,40.8122,-2.34,83,28,1.84,RU,1715116493
